t_s,d1_m,d2_m,vs_mps,vus_mps,u_N,road_amp_m,road_freq_rads
40.0,6.69668,16.85082,-0.00290,-0.05374,-3.7725,0.0150,25.00
40.1,-10.66557,7.55455,-0.04650,0.07004,-4.2577,0.0150,25.00
40.2,-5.61822,4.22011,0.03188,-0.00953,-0.1274,0.0150,25.00
40.3,3.46175,-3.23621,0.00586,0.00028,2.4125,0.0150,25.00
40.4,-0.04822,1.89037,0.00354,0.01859,-1.0297,0.0150,25.00
40.5,5.96473,10.51550,0.02080,-0.06987,-2.5126,0.0150,25.00
40.6,-1.61587,9.29306,0.03834,0.06270,4.1338,0.0150,25.00
40.7,6.25980,13.33682,0.06974,-0.02773,4.6944,0.0150,25.00
40.8,-0.40537,-7.18716,-0.12588,-0.01142,-8.1588,0.0150,25.00
40.9,-9.08171,5.58800,0.01593,-0.01532,0.5916,0.0150,25.00
41.0,3.35144,5.41320,0.01824,-0.07151,0.0398,0.0150,25.00
41.1,-0.91582,-2.54239,0.01770,0.02772,1.3498,0.0150,25.00
41.2,-3.97867,4.45603,0.04525,0.04537,4.2359,0.0150,25.00
41.3,0.33545,-11.45530,-0.04837,0.00964,-2.5307,0.0150,25.00
41.4,-1.82320,7.37652,0.02454,0.00065,0.8182,0.0150,25.00
41.5,-0.48985,-1.63595,-0.05823,-0.02026,-4.0905,0.0150,25.00
41.6,-6.19027,1.77297,0.03006,0.03535,-1.7658,0.0150,25.00
41.7,3.14855,14.93490,0.06610,-0.04000,5.5157,0.0150,25.00
41.8,-1.77364,-8.68859,-0.09201,0.00975,-5.4892,0.0150,25.00
41.9,-5.59966,6.81897,-0.01705,-0.03715,-4.0897,0.0150,25.00
42.0,-0.62080,-5.62731,-0.03592,-0.04353,-3.4940,0.0150,25.00
42.1,-2.15069,6.39408,0.00932,-0.00925,0.3281,0.0150,25.00
42.3,-2.94390,5.79929,0.02555,-0.00991,-0.2602,0.0150,25.00
42.4,-2.36137,-8.51156,-0.02255,0.04264,-0.4411,0.0150,25.00
42.4,-0.52213,7.35252,0.04731,0.01512,2.1769,0.0150,25.00
42.6,3.68383,-2.60835,-0.07974,-0.03739,-6.6858,0.0150,25.00
42.6,-8.63787,1.28682,0.05049,0.04097,3.0574,0.0150,25.00
42.8,8.91937,22.62900,0.05973,-0.07300,-2.4429,0.0150,25.00
42.9,-9.38137,-4.29289,-0.03372,0.09728,0.0570,0.0150,25.00
43.0,-1.62356,3.40505,0.08332,0.02150,6.8085,0.0150,25.00
43.1,3.35856,-9.37796,-0.13320,-0.03558,-11.0770,0.0150,25.00
43.2,-9.39667,1.90311,-0.05031,-0.02821,-5.2545,0.0150,25.00
43.3,-4.85538,4.14942,-0.00550,-0.08186,-3.0779,0.0150,25.00
43.4,-2.65022,0.33097,0.01060,-0.00498,-2.1045,0.0150,25.00
43.5,-3.91039,2.17206,0.02964,0.02899,1.3528,0.0150,25.00
43.6,4.25036,-0.96728,-0.00096,0.01383,0.8793,0.0150,25.00
43.7,1.07181,4.13537,0.02134,0.02543,0.8032,0.0150,25.00
43.8,4.89557,3.59695,-0.03336,-0.04310,-8.0091,0.0150,25.00
43.9,-4.24325,16.24058,-0.01086,0.02164,-3.5363,0.0150,25.00
44.0,-6.43992,1.13868,-0.00706,0.00116,-2.1229,0.0150,25.00
44.1,-1.05869,-2.94613,-0.01913,0.00795,-0.8042,0.0150,25.00
44.2,-0.63565,2.15408,0.04675,0.02333,3.6579,0.0150,25.00
44.3,4.53279,5.88493,-0.07465,-0.08082,-9.1726,0.0150,25.00
44.4,-12.33562,-5.58130,-0.06964,0.01500,-8.4915,0.0150,25.00
44.5,-9.01933,3.22302,0.01406,-0.02137,0.1420,0.0150,25.00
44.6,1.85847,11.67571,0.03636,0.01682,0.9219,0.0150,25.00
44.7,-1.67089,-0.29261,0.01337,0.04941,1.1562,0.0150,25.00
44.8,4.62731,1.22127,-0.00914,-0.02860,-2.4472,0.0150,25.00
44.9,-2.00177,3.94112,0.04589,0.04449,3.1641,0.0150,25.00
45.0,9.13397,15.11033,0.04324,-0.04801,-1.8726,0.0150,25.00
45.1,-4.20843,-14.81173,-0.05544,0.07162,-1.6722,0.0150,25.00
